"Commit","HighSeverity","MediumSeverity","LowSeverity"
"0a80871c3a2b353d870e337715bbbeedf6bc216e","37","32","1114"
"0d2d2892badb2b6f47c9b597564510871c7f1518","37","32","1114"
"0d7a5e760d5f7761fc819e788f24448349b4c129","27","27","1097"
"10089c6fe2028b879f9f60e9598fa580ef6a3e33","27","27","1093"
"14219b1fca86f2229d2b69455bdbb4eb952cf504","37","32","1115"
"16b998f9ca8b928b03f9f8be659ac01d4f2f623f","37","32","1114"
"176ae348c57a536d661ca1b469035e7e1ccbca6a","37","32","1114"
"1a0dfbd32e8d96299c4f0f3d16cb2d52a73de339","37","32","1114"
"1c1e83895c15dc491c6c133982cde22d778dcae6","37","32","1115"
"1e4c81e9dce7dfc06c8ab1b89d85da32f0cb54de","37","32","1108"
"1fc91bb46262118c9ff7aa2b4719d880f727699f","37","32","1115"
"200d76afa96a78899faf9e2c30ef45273b71c600","37","32","1114"
"21b9ba717c1687a889879232f226c75fb4dbe0bf","37","32","1110"
"261c4b61dc48353346c1e0387d0783ac15ab459d","27","25","1056"
"273620488ced7dd1a3c8a1c5022d17f0cc7f9496","37","32","1114"
"28fafbb8c56257eb6f09b8cbcb919483d5b30a11","27","27","1089"
"2ad5f0c12bfafc66fda6eb71790f447d2f7b8c13","27","27","1089"
"2eb3c75c697685af595b08023b4dc27d49403274","37","32","1114"
"3154b08e90d9777dfe2879b8686b6fc63a793c84","37","32","1114"
"393ff96e45ffcb738bc9f8d3240cd4d999bd07df","37","32","1114"
"402500b164efc01257679247d3dd1628a5f90f5e","37","32","1115"
"4842bcbf1da41029a604d1bf743d4dc893960d39","37","32","1114"
"4869315d102e2e92f50582ebc3aebdb82266f5b3","37","32","1114"
"499e7e8aa685b2c8ba60576707e6fbf8ed8180ba","27","27","1083"
"4a0c05749c72662bb82cdb01d9a0ef1ff6416b6a","37","32","1111"
"4d31277bc67169460dc2d8bca80946df8b355b8f","37","32","1114"
"4dcc04be48b5c9ed096e91bf2928f5e421ce2153","27","27","1097"
"4e0a3087e4f4f2bc118d0f09b71e7440e78c42d7","37","32","1114"
"5680bee968d91239da27fff00aa33a9d891f4109","27","27","1097"
"59fcb9b93c4971602b4a4afd4afdf08db7a7f2b7","37","32","1114"
"5c2df5cf2aec8ea1ef25c066c08920a6adbd42ca","37","32","1108"
"5d3aa80ad1f1dcd67a185158c6a7ceb53855eefd","37","32","1114"
"6aa4d2b4ab28b8f657645de613295ea2498e8cee","27","27","1089"
"6ae5b9267145e5b01d282f766fa90d129eb40390","37","32","1114"
"76a8badd24cea6509df24e070f7fc06f47ee9ac3","37","32","1114"
"783b98dedaea65e0c6658d9d588328dd887c2c8a","37","32","1114"
"7d5b189c1147e8aad632d4ef6759cc391d2017ac","37","32","1114"
"7dd92e6e4341dc6d5ba70a20d7e89edb3a87fba9","37","32","1107"
"7dfbecd3924a0d7a9e555e9cc3618cdb06b5415d","37","32","1114"
"7e61ff352439d3e5c85785fc26b5503e4fed67b8","37","32","1114"
"802c67072cb1fb47c8f1033dd51cab557c72b6a4","37","32","1108"
"838ff99f37d88214829018c6a7dd2a84fdb418b4","37","32","1114"
"83d4939d41ab8790587f721755a74f883cc04e31","27","25","1056"
"8700a5b7a92582fb1dc2a8fad7e41aa79948258b","27","27","1083"
"897e124a27772b9a710f501954f50e3c66e27c79","37","32","1108"
"8c23da943c5e892515f4fa2eb57229839802010a","27","27","1093"
"8c34e6d9a4994abda0059f76dbbdb64c2e8a9751","37","32","1119"
"929d665a74333434c9cede7133ea4f0707dbf9a6","27","27","1089"
"93644f2c30ee74a68584c9e4cdfd0827c2187d34","37","32","1108"
"98a57e241879e1b56ef8bffeb8f85f868e91c1e9","37","32","1114"
"98ba61256deceba7b04b938a97005258f4ef5c66","37","32","1115"
"9bc0029d27d8ed719e2cc2e9077a81450b995b96","37","32","1115"
"9d35428770326a3e833a2720c4f641fa70b58d29","37","32","1114"
"a195af304d2823cc686fd7354790e52239208d82","37","32","1111"
"a898331d14f889c1d4860cf1a364ba28285090a4","37","32","1119"
"b042ad255db139adc740cd97047b6607889f9f1c","27","25","1056"
"b10d46d280fbc84f7a1c50e116a1ed828aa286c9","37","32","1114"
"b1f9e56693cd2000ddcea922306f726f3e9339af","27","27","1093"
"b70443f2d06b1b0ad8c474fc5e8a424e363bdd81","37","32","1114"
"ba30f64268c011387959e939032315b9462da638","27","27","1097"
"ba5df629a2004ca0d919d8b7f0a7f5725448e50a","37","32","1114"
"bc1aeeefc970fbd123699e0cb6d8486141bf8418","37","32","1114"
"bfcee452b0f90dc3c642604bb77cd37f22ac0af1","27","27","1089"
"c003fc0841367227aff3c2c1192fe60abbd1a458","37","32","1108"
"c03fb2abb8c354c56c4e8363fc602d49f956c280","37","32","1114"
"c184f12ab5cb6239fc7b2f27ad75be45930dc871","27","27","1097"
"c200458f24a2e55dece5df5c22f39a0d1b4ff341","37","32","1119"
"c2832ed1316b25813870a3ef8ebc15473a35d82f","37","32","1108"
"c5ed0fd45cfcee15cf59eb92f40c12ca29ecc890","37","32","1111"
"c87354cd46afdba35ca104a62b0c2bbfa6bd6f64","37","32","1114"
"ca345a3b73904ffd6d2e8ffb17c45ebb69639d26","37","32","1115"
"cc146b9df7c6039ab0e0654b5844f5978e5bc565","27","27","1097"
"cc484efd43b0f8ba0dc89904a7d38086775c44ae","37","32","1111"
"cde0845ab2ac390ad7671f50f52e7b6033d4bbc1","37","32","1108"
"cec0aeca58730b592bec50299414d4bf30fc9ec0","37","32","1114"
"d27c6b46b11c2ceaa61b35372ad8a3c98185aa18","37","32","1114"
"d47f142d0ffff0e8f87eee67c4c0e7edbc71613e","27","27","1097"
"d4b152bbf64591317d2d7ec9dfed0746e7bdb8e1","37","32","1114"
"d6bf1464b875d40be489568bede8e8319ff770c9","27","27","1097"
"d7168577b859d15a15c2bcbc6c4f607a62be7478","37","32","1115"
"d8978d405c32ee63375e09bf0b66b1e803da3d08","37","32","1114"
"dc3ebb6cf76daa1953418af5aae3b83ffc12d02a","27","25","1056"
"dc4d6d16ead45932a564ea37eef03da92714f5cf","27","27","1089"
"dc706d4fc307f0b51d8122f10dee6ad8e2653629","37","32","1114"
"df688910e0499b0a874d220fe00ed7355a70fce0","37","32","1114"
"e0c828b7f665d8c82e17787996634bc072e416ae","37","32","1115"
"e53d6f09bc584f752200a11b686ec628b8c4c09d","27","27","1097"
"e7595837a60b896eb0efed4b452b0bdd62e8039f","37","32","1108"
"eda1a8a7c5b3b61aedd5fcc2e3950b7af28a2926","27","27","1083"
"eda3a89b3fe3e88ed8b90d032a2f25b92a1b79ca","27","25","1056"
"ede9e9c3c3f9a9049fea2a6be0339b2c7434b8a1","37","32","1114"
"ee4f527f47111c18ddef0c2369c1dede7447a4e9","37","32","1115"
"efb53aafdcaae058962c6189ddecb3dc62b02c31","27","27","1093"
"f041f26a6ff636b764d2bf584ddbc9b9e4334d1b","37","32","1114"
"f2234c5b96d4069d6881aacb7007ba3d305dfb0e","37","32","1114"
"f44ca39fa23f07c857a34309d79db6394c5faefb","37","32","1114"
"f4d8d6d8acf8ed26230c3c2b2b51425659de7105","27","27","1097"
"f796d8780c75543eadb6cf3689c7d0ca02896f0c","27","25","1083"
"f7af7b282d6d3b36689cc192e6f78c065e32fb89","37","32","1114"
"feea3a0f67f8e6f32ae6452f485709db16146c5e","27","27","1089"
